"地方公共団体名","地方公共団体名称","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等_方書","アドレスマッチング","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数_小便器","男性トイレ数_和式","男性トイレ数_洋式","女性トイレ総数","女性トイレ数_和式","女性トイレ数_洋式","男女共同トイレ総数","男女共同トイレ数_和式","男女共同トイレ数_洋式","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考","所管課","経度","緯度","分類"
"熊谷市","埼玉県熊谷市","髙城神社境内公衆便所","タカギジンジャケイダイコウシュウベンジョ","Takagi Shrine Public Restroom","112020","0019002","埼玉県熊谷市宮町2-92","埼玉県","熊谷市","宮町2","92","","熊谷市宮町2-92","社務所の北側","","","","","2","2","","","","","","1","1","","0","無","無","無","","","","","","","環境推進課","139.386599837991","36.1457857089932","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷駅南口広場公衆便所","クマガヤエキミナミグチヒロバコウシュウベンジョ","Kumagaya Station South Gate Public Restroom","112020","0025001","埼玉県熊谷市桜木町1-1-4","埼玉県","熊谷市","桜木町1","1-4","","熊谷市桜木町1-1-4","南口のロータリー中央","","","","","5","3","","2","3","","3","1","","1","1","有","有","有","","","","","","","環境推進課","139.388294008941","36.1389062285464","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","千形神社境内公衆便所","チカタジンジャケイダイコウシュウベンジョ","Tikata Shrine Public Restroom","112020","0017001","埼玉県熊谷市本町1-12","埼玉県","熊谷市","本町1","12","","熊谷市本町1-12","敷地の北端","","","","","3","2","","1","2","1","1","1","","1","0","有","無","無","","","","","","","環境推進課","139.384496186567","36.1459669749151","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","籠原駅南口広場公衆便所","カゴハラエキミナミグチヒロバコウシュウベンジョ","Kagohara Station South Gate Public Restroom","112020","0041001","埼玉県熊谷市籠原南1-5","埼玉県","熊谷市","籠原南1","5","","熊谷市籠原南1-5","南口の階段下","","","","","5","3","","2","2","","2","1","","1","0","有","有","無","","","","","","","環境推進課","139.330082476314","36.1739435738167","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","和田川上流公衆便所","ワダガワジョウリュウコウシュウベンジョ","Wada River Public Restroom","112020","0117000","埼玉県熊谷市板井718-2","埼玉県","熊谷市","板井","718-2","","熊谷市板井718-2","敷地の東端","","","","","1","1","","","","","","1","","1","0","有","無","無","","","","","","","環境推進課","139.318350959828","36.1064950635416","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","籠原駅ビル内公衆便所","カゴハラエキビルナイコウシュウベンジョ","Kagohara Station Building Public Restroom","112020","0102000","埼玉県熊谷市新堀713","埼玉県","熊谷市","新堀","713","","熊谷市新堀713","北口の駅ビル","","","階数","1","5","3","","2","3","","3","1","","1","0","有","有","有","","","","","","","環境推進課","139.330212444709","36.1747938187782","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷市営本町駐車場","クマガヤシエイホンチョウチュウシャジョウ","","112020","0017001","埼玉県熊谷市本町1-174","埼玉県","熊谷市","本町1","174","","熊谷市本町1-174","17号沿入口内","","","","","6","3","1","2","3","1","2","0","0","0","2","有","無","無","7:00:00","0:00:00","","","","","商業観光課","139.384430503564","36.1442342668716","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","聖天山お客様お迎えトイレ","ショウデンザンオキャクサマオムカエトイレ","","112020","0138000","埼玉県熊谷市妻沼1420-1","埼玉県","熊谷市","妻沼","1420-1","","熊谷市妻沼1420-1","観光駐車場内東側","","","","","4","3","","1","2","","2","1","","1","1","有","有","有","なし","なし","","","","","商業観光課","139.377439190449","36.2224829211954","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","聖天山境内トイレ","ショウデンザンケイダイトイレ","","112020","0138000","埼玉県熊谷市妻沼1511-3","埼玉県","熊谷市","妻沼","1511-3","","熊谷市妻沼1511-3","聖天山境内","","","","","4","3","","1","4","","4","1","","1","1","有","有","無","なし","なし","","","","","商業観光課","139.375258221395","36.2275846040907","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","聖天山歴史探訪トイレ","ショウデンザンレキシタンボウトイレ","","112020","0138000","埼玉県熊谷市妻沼1493-12","埼玉県","熊谷市","妻沼","1493-12","","熊谷市妻沼1493-12","妻沼聖天山前歩道橋西","","","","","6","4","","2","6","","6","1","","1","1","有","有","無","なし","なし","","","","","商業観光課","139.377320623565","36.227950953284","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","バスターミナルトイレ","バスターミナルトイレ","","112020","0138000","埼玉県熊谷市妻沼1479-4","埼玉県","熊谷市","妻沼","1479-4","","熊谷市妻沼1479-4","妻沼聖天山前歩道橋東","","","","","2","1","1","","","","","1","1","","1","無","無","無","なし","なし","","","","","商業観光課","139.378093611595","36.2280644892796","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","花埋み観光トイレ","ハナウズミカンコウトイレ","","112020","0046000","埼玉県熊谷市弁財1975","埼玉県","熊谷市","弁財","1975","","熊谷市弁財1975","(公財)日本学生航空連盟妻沼訓練所北","","","","","4","2","2","","2","2","","0","0","0","0","無","無","無","なし","なし","","","","","商業観光課","139.405964437027","36.2072145626434","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","東公園","ヒガシコウエン","","112020","0016003","埼玉県熊谷市銀座3-1","埼玉県","熊谷市","銀座3","1","","熊谷市銀座3-1","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.395728142835","36.142533379472","公衆トイレ一覧"
